Li,status,p_tip_x,p_tip_y,p_tip_z,deltau0_x,deltau0_y,deltau0_z,z_error,fingerprint
0,0,0,0,0,0,0,0,0,"param_file=./catheterdata/CatheterParameterSet_1_dyn.txt;config_file=./catheterdata/CatheterSpatialConfiguration_1.txt;L_inserted=0;NUM_ACT_SET=1;no_segments=4;no_flex_seg=2;no_rigid_seg=1;gravity=[0,0,0];ustar_0=[0,0,0];mode=straight;"
10,0,0,0,10,0,0,0,0,"param_file=./catheterdata/CatheterParameterSet_1_dyn.txt;config_file=./catheterdata/CatheterSpatialConfiguration_1.txt;L_inserted=10;NUM_ACT_SET=1;no_segments=4;no_flex_seg=2;no_rigid_seg=1;gravity=[0,0,0];ustar_0=[0,0,0];mode=straight;"
20,0,0,0,19.999999999999996,0,0,0,-3.5527136788005009e-15,"param_file=./catheterdata/CatheterParameterSet_1_dyn.txt;config_file=./catheterdata/CatheterSpatialConfiguration_1.txt;L_inserted=20;NUM_ACT_SET=1;no_segments=4;no_flex_seg=2;no_rigid_seg=1;gravity=[0,0,0];ustar_0=[0,0,0];mode=straight;"
30,0,0,0,29.999999999999993,0,0,0,-7.1054273576010019e-15,"param_file=./catheterdata/CatheterParameterSet_1_dyn.txt;config_file=./catheterdata/CatheterSpatialConfiguration_1.txt;L_inserted=30;NUM_ACT_SET=1;no_segments=4;no_flex_seg=2;no_rigid_seg=1;gravity=[0,0,0];ustar_0=[0,0,0];mode=straight;"
40,0,0,0,40.00000000000005,0,0,0,4.9737991503207013e-14,"param_file=./catheterdata/CatheterParameterSet_1_dyn.txt;config_file=./catheterdata/CatheterSpatialConfiguration_1.txt;L_inserted=40;NUM_ACT_SET=1;no_segments=4;no_flex_seg=2;no_rigid_seg=1;gravity=[0,0,0];ustar_0=[0,0,0];mode=straight;"
50,0,0,0,50.000000000000121,0,0,0,1.2079226507921703e-13,"param_file=./catheterdata/CatheterParameterSet_1_dyn.txt;config_file=./catheterdata/CatheterSpatialConfiguration_1.txt;L_inserted=50;NUM_ACT_SET=1;no_segments=4;no_flex_seg=2;no_rigid_seg=1;gravity=[0,0,0];ustar_0=[0,0,0];mode=straight;"
60,0,0,0,60.000000000000128,0,0,0,1.2789769243681803e-13,"param_file=./catheterdata/CatheterParameterSet_1_dyn.txt;config_file=./catheterdata/CatheterSpatialConfiguration_1.txt;L_inserted=60;NUM_ACT_SET=1;no_segments=4;no_flex_seg=2;no_rigid_seg=1;gravity=[0,0,0];ustar_0=[0,0,0];mode=straight;"
70,0,0,0,70.000000000000099,0,0,0,9.9475983006414026e-14,"param_file=./catheterdata/CatheterParameterSet_1_dyn.txt;config_file=./catheterdata/CatheterSpatialConfiguration_1.txt;L_inserted=70;NUM_ACT_SET=1;no_segments=4;no_flex_seg=2;no_rigid_seg=1;gravity=[0,0,0];ustar_0=[0,0,0];mode=straight;"
80,0,0,0,80.000000000000114,0,0,0,1.1368683772161603e-13,"param_file=./catheterdata/CatheterParameterSet_1_dyn.txt;config_file=./catheterdata/CatheterSpatialConfiguration_1.txt;L_inserted=80;NUM_ACT_SET=1;no_segments=4;no_flex_seg=2;no_rigid_seg=1;gravity=[0,0,0];ustar_0=[0,0,0];mode=straight;"
90,0,0,0,90.000000000000114,0,0,0,1.1368683772161603e-13,"param_file=./catheterdata/CatheterParameterSet_1_dyn.txt;config_file=./catheterdata/CatheterSpatialConfiguration_1.txt;L_inserted=90;NUM_ACT_SET=1;no_segments=4;no_flex_seg=2;no_rigid_seg=1;gravity=[0,0,0];ustar_0=[0,0,0];mode=straight;"
100,0,0,0,100.00000000000023,0,0,0,2.2737367544323206e-13,"param_file=./catheterdata/CatheterParameterSet_1_dyn.txt;config_file=./catheterdata/CatheterSpatialConfiguration_1.txt;L_inserted=100;NUM_ACT_SET=1;no_segments=4;no_flex_seg=2;no_rigid_seg=1;gravity=[0,0,0];ustar_0=[0,0,0];mode=straight;"
110,0,0,0,110.00000000000024,0,0,0,2.4158453015843406e-13,"param_file=./catheterdata/CatheterParameterSet_1_dyn.txt;config_file=./catheterdata/CatheterSpatialConfiguration_1.txt;L_inserted=110;NUM_ACT_SET=1;no_segments=4;no_flex_seg=2;no_rigid_seg=1;gravity=[0,0,0];ustar_0=[0,0,0];mode=straight;"
120,0,0,0,120.00000000000027,0,0,0,2.7000623958883807e-13,"param_file=./catheterdata/CatheterParameterSet_1_dyn.txt;config_file=./catheterdata/CatheterSpatialConfiguration_1.txt;L_inserted=120;NUM_ACT_SET=1;no_segments=4;no_flex_seg=2;no_rigid_seg=1;gravity=[0,0,0];ustar_0=[0,0,0];mode=straight;"
130,0,0,0,129.99999999999989,0,0,0,-1.1368683772161603e-13,"param_file=./catheterdata/CatheterParameterSet_1_dyn.txt;config_file=./catheterdata/CatheterSpatialConfiguration_1.txt;L_inserted=130;NUM_ACT_SET=1;no_segments=4;no_flex_seg=2;no_rigid_seg=1;gravity=[0,0,0];ustar_0=[0,0,0];mode=straight;"
140,0,0,0,140.00000000000026,0,0,0,2.5579538487363607e-13,"param_file=./catheterdata/CatheterParameterSet_1_dyn.txt;config_file=./catheterdata/CatheterSpatialConfiguration_1.txt;L_inserted=140;NUM_ACT_SET=1;no_segments=4;no_flex_seg=2;no_rigid_seg=1;gravity=[0,0,0];ustar_0=[0,0,0];mode=straight;"
150,0,0,0,149.99999999999983,0,0,0,-1.7053025658242404e-13,"param_file=./catheterdata/CatheterParameterSet_1_dyn.txt;config_file=./catheterdata/CatheterSpatialConfiguration_1.txt;L_inserted=150;NUM_ACT_SET=1;no_segments=4;no_flex_seg=2;no_rigid_seg=1;gravity=[0,0,0];ustar_0=[0,0,0];mode=straight;"
160,0,0,0,159.99999999999983,0,0,0,-1.7053025658242404e-13,"param_file=./catheterdata/CatheterParameterSet_1_dyn.txt;config_file=./catheterdata/CatheterSpatialConfiguration_1.txt;L_inserted=160;NUM_ACT_SET=1;no_segments=4;no_flex_seg=2;no_rigid_seg=1;gravity=[0,0,0];ustar_0=[0,0,0];mode=straight;"
170,0,0,0,170.00000000000026,0,0,0,2.5579538487363607e-13,"param_file=./catheterdata/CatheterParameterSet_1_dyn.txt;config_file=./catheterdata/CatheterSpatialConfiguration_1.txt;L_inserted=170;NUM_ACT_SET=1;no_segments=4;no_flex_seg=2;no_rigid_seg=1;gravity=[0,0,0];ustar_0=[0,0,0];mode=straight;"
180,0,0,0,179.99999999999997,0,0,0,-2.8421709430404007e-14,"param_file=./catheterdata/CatheterParameterSet_1_dyn.txt;config_file=./catheterdata/CatheterSpatialConfiguration_1.txt;L_inserted=180;NUM_ACT_SET=1;no_segments=4;no_flex_seg=2;no_rigid_seg=1;gravity=[0,0,0];ustar_0=[0,0,0];mode=straight;"
190,0,0,0,189.9999999999996,0,0,0,-3.979039320256561e-13,"param_file=./catheterdata/CatheterParameterSet_1_dyn.txt;config_file=./catheterdata/CatheterSpatialConfiguration_1.txt;L_inserted=190;NUM_ACT_SET=1;no_segments=4;no_flex_seg=2;no_rigid_seg=1;gravity=[0,0,0];ustar_0=[0,0,0];mode=straight;"
